GeoID	E-Value (from SR's file)	Uniprot ID	Protein Name	Species 	GO Process	PFAM			B/E Case Inlet	B/E Fidalgo Bay	B/E Port Gamble	B/E Skokomish	E/B Case Inlet	E/B Fidalgo Bay	E/B Port Gamble	E/B Skokomish	# Bare Sites	# Eelgrass Sites
comp144124_c0_seq12	1.00E-165	Q60520	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)	Mus musculus (Mouse)	"activation of innate immune response [GO:0002218]; aging [GO:0007568]; cellular protein localization [GO:0034613]; cellular response to dopamine [GO:1903351]; cellular response to glucose stimulus [GO:0071333]; chromatin silencing at rDNA [GO:0000183]; DNA replication [GO:0006260]; hematopoietic progenitor cell differentiation [GO:0002244]; histone deacetylation [GO:0016575]; in utero embryonic development [GO:0001701]; negative regulation of apoptotic process [GO:0043066]; negative regulation of circadian rhythm [GO:0042754]; negative regulation of histone H3-K27 acetylation [GO:1901675]; negative regulation of protein localization to nucleus [GO:1900181]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of transcription regulatory region DNA binding [GO:2000678]; positive regulation of chromatin silencing [GO:0031937]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein deacetylation [GO:0006476]; regulation of hormone levels [GO:0010817]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; response to methylglyoxal [GO:0051595]; rhythmic process [GO:0048511]; transcription, DNA-templated [GO:0006351]"	PF02671;PF08295;PF16879;	comp144124_c0_seq12	m.49851		5.96	2.13	2.45					3	0
comp139509_c0_seq2	2.00E-162	Q62384	Zinc finger protein ZPR1 (Zinc finger protein 259)	Mus musculus (Mouse)	apoptotic process involved in development [GO:1902742]; axon development [GO:0061564]; Cajal body organization [GO:0030576]; cellular response to epidermal growth factor stimulus [GO:0071364]; DNA endoreduplication [GO:0042023]; inner cell mass cell proliferation [GO:0001833]; microtubule cytoskeleton organization [GO:0000226]; mRNA processing [GO:0006397]; negative regulation of motor neuron apoptotic process [GO:2000672]; positive regulation of gene expression [GO:0010628]; positive regulation of growth [GO:0045927]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of RNA splicing [GO:0033120]; positive regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0071931]; pre-mRNA catabolic process [GO:1990261]; regulation of myelination [GO:0031641]; RNA splicing [GO:0008380]; spinal cord development [GO:0021510]; trophectodermal cell proliferation [GO:0001834]	PF03367;	comp139509_c0_seq2	m.32494	3.59	3.69	2.05						3	0
comp93919_c1_seq1	2.00E-60	Q63448	Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)	Rattus norvegicus (Rat)	fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]; lipid homeostasis [GO:0055088]	PF01756;PF00441;PF02770;	comp93919_c1_seq1	m.5113		3.17	2		3.88				3	1
comp72674_c1_seq1	2.00E-20	Q6IE52	Murinoglobulin-2	Rattus norvegicus (Rat)		PF00207;PF07678;PF01835;PF07703;PF07677;PF10569;	comp72674_c1_seq1	m.3175	2.47	2.05		3.64					3	0
comp139963_c0_seq2	7.00E-77	Q6NWX7	N-terminal Xaa-Pro-Lys N-methyltransferase 1 (EC 2.1.1.244) (Alpha N-terminal protein methyltransferase 1A) (Methyltransferase-like protein 11A) (X-Pro-Lys N-terminal protein methyltransferase 1A) (NTM1A)	Danio rerio (Zebrafish) (Brachydanio rerio)	chromosome segregation [GO:0007059]; N-terminal peptidyl-alanine methylation [GO:0018011]; N-terminal peptidyl-proline dimethylation [GO:0018016]; N-terminal peptidyl-proline methylation [GO:0035568]; N-terminal peptidyl-serine dimethylation [GO:0035572]; N-terminal peptidyl-serine methylation [GO:0035570]; N-terminal peptidyl-serine trimethylation [GO:0035573]; spindle organization [GO:0007051]	PF05891;	comp139963_c0_seq2	m.33572		4.89	2.67	4.64	2.23				3	1
comp140339_c0_seq1	2.00E-117	Q6NYL3	"Peroxisomal bifunctional enzyme (PBE) (PBFE) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]"	Danio rerio (Zebrafish) (Brachydanio rerio)	fatty acid beta-oxidation [GO:0006635]	PF00725;PF02737;PF00378;	comp140339_c0_seq1	m.34673	7.69	7.51	4.89						3	0
comp136913_c0_seq3	3.00E-39	Q6P1N0	Coiled-coil and C2 domain-containing protein 1A (Akt kinase-interacting protein 1) (Five prime repressor element under dual repression-binding protein 1) (FRE under dual repression-binding protein 1) (Freud-1) (Putative NF-kappa-B-activating protein 023N)	Homo sapiens (Human)	"negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; transcription, DNA-templated [GO:0006351]"	PF00168;	comp136913_c0_seq3	m.27114	2.34		4.39	5.44					3	0
comp140022_c0_seq6	0	Q6PA06	Atlastin-2 (EC 3.6.5.-) (ADP-ribosylation factor-like protein 6-interacting protein 2) (ARL-6-interacting protein 2) (Aip-2)	Mus musculus (Mouse)	endoplasmic reticulum organization [GO:0007029]; Golgi organization [GO:0007030]; protein homooligomerization [GO:0051260]	PF02263;	comp140022_c0_seq6	m.33755	3.82		2.25	10.36		6.76			3	1
comp125209_c0_seq1	5.00E-132	Q6PDL0	"Cytoplasmic dynein 1 light intermediate chain 2 (Dynein light intermediate chain 2, cytosolic)"	Mus musculus (Mouse)	centrosome localization [GO:0051642]; microtubule-based movement [GO:0007018]; microtubule cytoskeleton organization [GO:0000226]; transport [GO:0006810]	PF05783;	comp125209_c0_seq1	m.13948	2.48		3.82	2.77		275.14			3	1
comp143599_c0_seq1	0	Q6PF21	"Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)"	Xenopus laevis (African clawed frog)	methionyl-tRNA aminoacylation [GO:0006431]	PF14497;PF09334;PF00458;	comp143599_c0_seq1	m.46728	6.88	5.61	6.27	10.76					4	0
comp95907_c0_seq1	5.00E-12	Q6RFH5	WD repeat-containing protein 74 (NOP seven-associated protein 1)	Homo sapiens (Human)	blastocyst formation [GO:0001825]; ribosomal large subunit biogenesis [GO:0042273]; RNA metabolic process [GO:0016070]	PF00400;	comp95907_c0_seq1	m.5391			3.86	4.09	6.55	3.2			3	2
comp140549_c0_seq1	5.00E-167	Q70KH2	Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (D-glucosyl-N-acylsphingosine glucohydrolase)	Sus scrofa (Pig)	carbohydrate metabolic process [GO:0005975]; sphingolipid metabolic process [GO:0006665]	PF02055;PF17189;	comp140549_c0_seq1	m.35130	2.32	3.48	2.6						3	0
comp140469_c0_seq6	3.00E-09	Q71LX4	Talin-2	Mus musculus (Mouse)	cell adhesion [GO:0007155]; cytoskeletal anchoring at plasma membrane [GO:0007016]	PF16511;PF00373;PF09379;PF01608;PF09141;PF08913;	comp140469_c0_seq6	m.34917	11.46		4.48	4.73		2.71			3	1
comp141533_c1_seq3	4.00E-55	Q7SXL7	Pre-mRNA-splicing regulator WTAP (Female-lethal(2)D homolog) (WT1-associated protein) (Wilms tumor 1-associating protein)	Danio rerio (Zebrafish) (Brachydanio rerio)	"cell cycle [GO:0007049]; mRNA methylation [GO:0080009]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of apoptotic process [GO:0042981]; RNA splicing [GO:0008380]"	PF17098;	comp141533_c1_seq3	m.38600		2.03	3.27	2.15					3	0
comp138933_c0_seq7	3.00E-39	Q7ZT82	RNA binding protein fox-1 homolog 1-like (Ataxin 2-binding protein 1-like) (Fox-1 homolog-like protein 1)	Danio rerio (Zebrafish) (Brachydanio rerio)	"cardiac muscle fiber development [GO:0048739]; mRNA processing [GO:0006397]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]; skeletal muscle fiber development [GO:0048741]"	PF12414;PF00076;	comp138933_c0_seq7	m.31271	2.97	2.26	4.52						3	0
comp139900_c1_seq1	2.00E-25	Q83KZ1	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	Shigella flexneri	carbohydrate metabolic process [GO:0005975]; GDP-mannose biosynthetic process [GO:0009298]	PF01238;	comp139900_c1_seq1	m.33343	4.73	11.07	8.27	115.64					4	0
comp131281_c0_seq1	2.00E-14	Q869C3	Acetylcholinesterase (AChE) (EC 3.1.1.7)	Anopheles gambiae (African malaria mosquito)	neurotransmitter catabolic process [GO:0042135]	PF00135;	comp131281_c0_seq1	m.19061		6.63	2.46	2.44	2.2				3	1
comp140568_c0_seq3	2.00E-39	Q8BTG3	T-complex protein 11-like protein 1	Mus musculus (Mouse)		PF05794;	comp140568_c0_seq3	m.35296	3.66		3.16	2.72					3	0
comp139373_c0_seq1	0	Q8BXR9	Oxysterol-binding protein-related protein 6 (ORP-6) (OSBP-related protein 6)	Mus musculus (Mouse)	lipid transport [GO:0006869]	PF01237;	comp139373_c0_seq1	m.32200	8.14	16.39	4.99					3.73	3	1
comp110681_c0_seq1	5.00E-58	Q8IWF2	FAD-dependent oxidoreductase domain-containing protein 2 (Endoplasmic reticulum flavoprotein associated with degradation)	Homo sapiens (Human)	ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]; oxidation-reduction process [GO:0055114]		comp110681_c0_seq1	m.8115	4.73		3.2	9.53		15.28			3	1
comp139373_c1_seq1	9.00E-55	Q8IYX4	"Dead end protein homolog 1 (RNA-binding motif, single-stranded-interacting protein 4)"	Homo sapiens (Human)	germ cell development [GO:0007281]; multicellular organism development [GO:0007275]; negative regulation of gene silencing by miRNA [GO:0060965]	PF00076;	comp139373_c1_seq1	m.32201	2.26	45.85	2.17						3	0
comp96183_c1_seq1	4.00E-08	Q8IZJ3	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8	Homo sapiens (Human)		PF00207;PF07678;PF01835;PF07703;PF07677;PF07648;PF12248;PF10569;	comp96183_c1_seq1	m.5425	2.12	2.36		2.45			2.11		3	1
comp134986_c1_seq6	4.00E-09	Q8UUU2	Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)	Xenopus laevis (African clawed frog)	cellular glucose homeostasis [GO:0001678]; cellular response to insulin stimulus [GO:0032869]; insulin-like growth factor receptor signaling pathway [GO:0048009]; insulin receptor signaling pathway [GO:0008286]; negative regulation of apoptotic process [GO:0043066]; phosphatidylinositol phosphorylation [GO:0046854]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of RNA splicing [GO:0033120]; positive regulation of transcription factor import into nucleus [GO:0042993]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein stabilization [GO:0050821]; response to endoplasmic reticulum stress [GO:0034976]	PF16454;PF00620;PF00017;	comp134986_c1_seq6	m.23602	3.55		2.24	6.06		925.95			3	1
comp124483_c1_seq1	5.00E-140	Q8VDI9	"Alpha-1,2-mannosyltransferase ALG9 (EC 2.4.1.259) (EC 2.4.1.261) (Asparagine-linked glycosylation protein 9 homolog) (Disrupted in bipolar disorder protein 1 homolog) (Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase) (Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase)"	Mus musculus (Mouse)	protein glycosylation [GO:0006486]	PF03901;	comp124483_c1_seq1	m.13533	19.45	4.65	122.48					21.4	3	1
comp143413_c1_seq1	1.00E-13	Q8VE99	Coiled-coil domain-containing protein 115 (Coiled-coil protein 1) (Ccp1)	Mus musculus (Mouse)			comp143413_c1_seq1	m.45843		2.07	2.4	3.04					3	0
comp78023_c0_seq1	7.00E-28	Q8VHE6	"Dynein heavy chain 5, axonemal (Axonemal beta dynein heavy chain 5) (mDNAH5) (Ciliary dynein heavy chain 5)"	Mus musculus (Mouse)	cilium assembly [GO:0042384]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; heart development [GO:0007507]; lateral ventricle development [GO:0021670]; outer dynein arm assembly [GO:0036158]; sperm motility [GO:0030317]	PF07728;PF12780;PF08385;PF08393;PF03028;PF12777;	comp78023_c0_seq1	m.3549	2.86	2.87		10.49					3	0
comp122710_c0_seq1	9.00E-14	Q91653	Corticotropin-releasing factor-binding protein (CRF-BP) (CRF-binding protein) (Corticotropin-releasing hormone-binding protein) (CRH-BP)	Xenopus laevis (African clawed frog)		PF05428;	comp122710_c0_seq1	m.12531	8.74	3.99		3.47					3	0
comp143959_c1_seq18	3.00E-11	Q92796	Disks large homolog 3 (Neuroendocrine-DLG) (Synapse-associated protein 102) (SAP-102) (SAP102) (XLMR)	Homo sapiens (Human)	chemical synaptic transmission [GO:0007268]; establishment of planar polarity [GO:0001736]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; negative regulation of cell proliferation [GO:0008285]; negative regulation of phosphatase activity [GO:0010923]; nervous system development [GO:0007399]; receptor clustering [GO:0043113]; receptor localization to synapse [GO:0097120]	PF00625;PF00595;PF10600;PF00018;	comp143959_c1_seq18	m.48837	17.07	42.55		3.58					3	0
comp138933_c0_seq12	6.00E-42	Q95KI0	RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	mRNA processing [GO:0006397]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]	PF12414;PF00076;	comp138933_c0_seq12	m.31280	2.97	2.26	4.52						3	0
comp113126_c0_seq1	1.00E-52	Q99J82	Integrin-linked protein kinase (EC 2.7.11.1)	Rattus norvegicus (Rat)	"branching involved in ureteric bud morphogenesis [GO:0001658]; cell aging [GO:0007569]; cell cycle arrest [GO:0007050]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; extracellular fibril organization [GO:0043206]; fibroblast migration [GO:0010761]; integrin-mediated signaling pathway [GO:0007229]; myelin assembly [GO:0032288]; myelination in peripheral nervous system [GO:0022011]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of neural precursor cell proliferation [GO:2000178]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of smooth muscle cell migration [GO:0014912]; negative regulation of smooth muscle cell proliferation [GO:0048662]; nerve development [GO:0021675]; neuron projection morphogenesis [GO:0048812]; outflow tract morphogenesis [GO:0003151]; peptidyl-serine phosphorylation [GO:0018105]; platelet aggregation [GO:0070527]; positive regulation of axon extension [GO:0045773]; positive regulation of axonogenesis [GO:0050772]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of cell migration [GO:0030335]; positive regulation of cell proliferation [GO:0008284]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of myoblast differentiation [GO:0045663]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of transcription, DNA-templated [GO:0045893]; protein heterooligomerization [GO:0051291]; protein kinase B signaling [GO:0043491]; protein phosphorylation [GO:0006468]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell growth [GO:0001558]; substrate adhesion-dependent cell spreading [GO:0034446]"	PF12796;PF07714;	comp113126_c0_seq1	m.8792	2.02	4.61	2.01						3	0
comp144592_c0_seq2	2.00E-100	Q9BYW2	Histone-lysine N-methyltransferase SETD2 (EC 2.1.1.43) (HIF-1) (Huntingtin yeast partner B) (Huntingtin-interacting protein 1) (HIP-1) (Huntingtin-interacting protein B) (Lysine N-methyltransferase 3A) (SET domain-containing protein 2) (hSET2) (p231HBP)	Homo sapiens (Human)	"angiogenesis [GO:0001525]; cell migration involved in vasculogenesis [GO:0035441]; coronary vasculature morphogenesis [GO:0060977]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic placenta morphogenesis [GO:0060669]; forebrain development [GO:0030900]; histone H3-K36 dimethylation [GO:0097676]; histone H3-K36 trimethylation [GO:0097198]; mesoderm morphogenesis [GO:0048332]; mismatch repair [GO:0006298]; morphogenesis of a branching structure [GO:0001763]; neural tube closure [GO:0001843]; nucleosome organization [GO:0034728]; pericardium development [GO:0060039]; regulation of mRNA export from nucleus [GO:0010793]; regulation of transcription, DNA-templated [GO:0006355]; stem cell development [GO:0048864]; transcription elongation from RNA polymerase II promoter [GO:0006368]"	PF00856;PF08236;PF00397;	comp144592_c0_seq2	m.53171		2.69	132.58	2.91	3.03				3	1
comp94584_c0_seq1	4.00E-58	Q9D903	Probable rRNA-processing protein EBP2	Mus musculus (Mouse)	ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]	PF05890;	comp94584_c0_seq1	m.5209	4.3	218.41		112.25			767.12		3	1
comp92163_c0_seq1	2.00E-18	Q9FHN8	Kinesin-like calmodulin-binding protein (Protein ZWICHEL)	Arabidopsis thaliana (Mouse-ear cress)	microtubule-based movement [GO:0007018]; trichome branching [GO:0010091]	PF00373;PF09379;PF00225;PF00784;	comp92163_c0_seq1	m.4857		2.41	2.65		6.72			6.28	3	2
comp138933_c0_seq3	9.00E-42	Q9JJ43	RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A)	Mus musculus (Mouse)	"mRNA processing [GO:0006397]; nervous system development [GO:0007399]; neuromuscular process controlling balance [GO:0050885]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of skeletal muscle cell differentiation [GO:2001014]; RNA splicing [GO:0008380]"	PF12414;PF00076;	comp138933_c0_seq3	m.31267	2.97	2.26	4.52						3	0
comp144124_c0_seq9	9.00E-38	Q9LFQ3	Paired amphipathic helix protein Sin3-like 2	Arabidopsis thaliana (Mouse-ear cress)	"histone deacetylation [GO:0016575]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; transcription, DNA-templated [GO:0006351]"	PF02671;PF08295;PF16879;	comp144124_c0_seq9	m.49845		5.96	2.13	2.45					3	0
comp132672_c0_seq1	6.00E-39	Q9QWG7	Sulfotransferase family cytosolic 1B member 1 (ST1B1) (Sulfotransferase 1B1) (EC 2.8.2.-) (DOPA/tyrosine sulfotransferase)	Mus musculus (Mouse)	epithelial cell differentiation [GO:0030855]; flavonoid metabolic process [GO:0009812]; phenol-containing compound metabolic process [GO:0018958]; steroid metabolic process [GO:0008202]; sulfation [GO:0051923]; thyroid hormone metabolic process [GO:0042403]; xenobiotic metabolic process [GO:0006805]	PF00685;	comp132672_c0_seq1	m.20551	6.23	2.28	2.55						3	0
comp142656_c1_seq8	4.00E-99	Q9U943	Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]	Locusta migratoria (Migratory locust)	Wnt signaling pathway [GO:0016055]	PF08742;PF06448;PF09172;PF01347;PF00094;	comp142656_c1_seq8	m.42796	3.33	52.73	7.15						3	0
comp105966_c0_seq1	3.00E-09	Q9V5N8	Protocadherin-like wing polarity protein stan (Protein flamingo) (Protein starry night)	Drosophila melanogaster (Fruit fly)	"axon guidance [GO:0007411]; axonogenesis [GO:0007409]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; dendrite development [GO:0016358]; dendrite morphogenesis [GO:0048813]; dendrite self-avoidance [GO:0070593]; establishment of ommatidial planar polarity [GO:0042067]; establishment of planar polarity [GO:0001736]; establishment of tissue polarity [GO:0007164]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; morphogenesis of a polarized epithelium [GO:0001738]; mushroom body development [GO:0016319]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of Wnt signaling pathway [GO:0030178]; ommatidial rotation [GO:0016318]; positive regulation of axon extension [GO:0045773]; positive regulation of axon guidance [GO:1902669]; positive regulation of Wnt signaling pathway [GO:0030177]; R3/R4 cell fate commitment [GO:0007464]; R3/R4 development [GO:0048057]; regulation of axonogenesis [GO:0050770]; regulation of establishment of planar polarity [GO:0090175]; regulation of synapse assembly [GO:0051963]; regulation of tube length, open tracheal system [GO:0035159]; segment polarity determination [GO:0007367]; sensory perception of pain [GO:0019233]; signal transduction [GO:0007165]; Wnt signaling pathway [GO:0016055]"	PF00002;PF00028;PF00008;PF16489;PF01825;PF00053;PF02210;	comp105966_c0_seq1	m.6904		7.38	7.74	22.66					3	0
comp62310_c0_seq1	5.00E-11	Q9XYM0	Adapter molecule Crk	Drosophila melanogaster (Fruit fly)	"border follicle cell migration [GO:0007298]; ephrin receptor signaling pathway [GO:0048013]; imaginal disc fusion, thorax closure [GO:0046529]; myoblast fusion [GO:0007520]; phagocytosis, engulfment [GO:0006911]; positive regulation of JNK cascade [GO:0046330]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of GTPase activity [GO:0043087]; signal transduction [GO:0007165]"	PF00017;PF00018;PF07653;	comp62310_c0_seq1	m.2491	24.81	8.28		2.55			5.89		3	1
comp127566_c0_seq1	2.00E-28	A4K526	Transmembrane protein 256 homolog	Bufo gargarizans (Asian toad) (Bufo bufo gargarizans)		PF04241;	comp127566_c0_seq1	m.15637					2.04	5.05	47.93	77.63	1	4
comp140059_c0_seq1	3.00E-19	A6NNT2	Uncharacterized protein C16orf96	Homo sapiens (Human)		PF16043;	comp140059_c0_seq1	m.33864					12.38	9.43		2.32	0	3
comp74781_c1_seq2	1.00E-41	A7E2Y6	Maestro heat-like repeat-containing protein family member 1 (HEAT repeat-containing protein 7A)	Bos taurus (Bovine)			comp74781_c1_seq2	m.3325			2.48		22.77	2.15		13.85	2	3
comp136023_c1_seq2	1.00E-09	B5XF11	Lysine-specific demethylase 8 (EC 1.14.11.27) (JmjC domain-containing protein 5) (Jumonji domain-containing protein 5)	Salmo salar (Atlantic salmon)	"G2/M transition of mitotic cell cycle [GO:0000086]; histone H3-K36 demethylation [GO:0070544]; positive regulation of transcription, DNA-templated [GO:0045893]; transcription, DNA-templated [GO:0006351]"		comp136023_c1_seq2	m.25651				3.27	3.54	608.62	136.23		1	3
comp133508_c0_seq1	3.00E-40	D4ACN8	Plasminogen receptor (KT) (Plg-R(KT))	Rattus norvegicus (Rat)	chemotaxis [GO:0006935]; inflammatory response [GO:0006954]; positive regulation of plasminogen activation [GO:0010756]	PF10166;	comp133508_c0_seq1	m.21610					9.15		7.45	5.82	1	3
comp69840_c1_seq1	2.00E-32	O04893	Alpha-glucosidase (EC 3.2.1.20) (Maltase)	Spinacia oleracea (Spinach)		PF13802;PF01055;PF16863;	comp69840_c1_seq1	m.2991				4.02	3.13	5.3	2.68		1	3
comp142423_c1_seq14	3.00E-170	O08679	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2)	Rattus norvegicus (Rat)	establishment of cell polarity [GO:0030010]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; intracellular signal transduction [GO:0035556]; neuron migration [GO:0001764]; positive regulation of neuron projection development [GO:0010976]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of axonogenesis [GO:0050770]; regulation of cytoskeleton organization [GO:0051493]; Wnt signaling pathway [GO:0016055]	PF02149;PF00069;PF00627;	comp142423_c1_seq14	m.41930					2.22	5.03		25.82	1	3
comp143108_c0_seq1	7.00E-169	O15213	WD repeat-containing protein 46 (WD repeat-containing protein BING4)	Homo sapiens (Human)	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; positive regulation of protein targeting to mitochondrion [GO:1903955]; rRNA processing [GO:0006364]"	PF08149;	comp143108_c0_seq1	m.44572		3.11			2.29		4.56	285.08	2	3
comp131848_c1_seq1	1.00E-17	O35490	Betaine--homocysteine S-methyltransferase 1 (EC 2.1.1.5)	Mus musculus (Mouse)	amino-acid betaine catabolic process [GO:0006579]; amino-acid betaine metabolic process [GO:0006577]; L-methionine salvage [GO:0071267]; methionine biosynthetic process [GO:0009086]	PF02574;	comp131848_c1_seq1	m.19655					42.09	2.56	25.89	5.33	1	4
comp147487_c0_seq1	3.00E-33	O75165	DnaJ homolog subfamily C member 13 (Required for receptor-mediated endocytosis 8) (RME-8)	Homo sapiens (Human)	endosome organization [GO:0007032]; osteoblast differentiation [GO:0001649]; protein transport [GO:0015031]; regulation of early endosome to late endosome transport [GO:2000641]; regulation of early endosome to recycling endosome transport [GO:1902954]	PF00226;PF14237;	comp147487_c0_seq1	m.54003		521.08			12.56		3.09	10.21	2	3
comp138601_c0_seq2	7.00E-06	P02207	Globin	Lampetra fluviatilis (European river lamprey) (Petromyzon fluviatilis)		PF00042;	comp138601_c0_seq2	m.30467			4.09		2.3	45.37		6.37	2	3
comp141270_c1_seq7	1.00E-46	P02730	Band 3 anion transport protein (Anion exchange protein 1) (AE 1) (Anion exchanger 1) (Solute carrier family 4 member 1) (CD antigen CD233)	Homo sapiens (Human)	anion transport [GO:0006820]; bicarbonate transport [GO:0015701]; cellular ion homeostasis [GO:0006873]; chloride transmembrane transport [GO:1902476]; chloride transport [GO:0006821]; regulation of intracellular pH [GO:0051453]	PF07565;PF00955;	comp141270_c1_seq7	m.37780						14.03	4.33	8.72	0	3
comp123981_c1_seq1	4.00E-43	P15882	N-chimaerin (A-chimaerin) (Alpha-chimerin) (N-chimerin) (NC) (Rho GTPase-activating protein 2)	Homo sapiens (Human)	ephrin receptor signaling pathway [GO:0048013]; intracellular signal transduction [GO:0035556]; motor neuron axon guidance [GO:0008045]; regulation of axonogenesis [GO:0050770]; regulation of small GTPase mediated signal transduction [GO:0051056]	PF00130;PF00620;PF00017;	comp123981_c1_seq1	m.13226					10.34	27.41		31.86	1	3
