NormProtAreaAgg.Protein.Name	bareCaseInlet	bareFidalgoBay	barePortGamble	bareSkokomishRiver	bareWillapaBay	eelgrassCaseInlet	eelgrassFidalgoBay	eelgrassPortGamble	eelgrassSkokomishRiver	Evalue	SPID	ProteinName	Organism	GO	PFAM
comp126021_c0_seq1	0.371188138	0.682878337	0.742586996	0.496094198	0.566814862	0.378639882	0.54924558	0.63903133	0.642464796	2e-80	P23004	Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)	Bos taurus (Bovine)	aerobic respiration [GO:0009060]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; protein processing [GO:0016485]	PF00675;PF05193;
comp126028_c0_seq1	0.001748639	0.004429235	0.021765519	0.011007134	0.020003059	0.003933	0.011657608	0.012290362	0.017759207	4e-06	Q01082	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)	Homo sapiens (Human)	actin filament capping [GO:0051693]; axon guidance [GO:0007411]; common-partner SMAD protein phosphorylation [GO:0007182]; ER to Golgi vesicle-mediated transport [GO:0006888]; Golgi to plasma membrane protein transport [GO:0043001]; MAPK cascade [GO:0000165]; membrane assembly [GO:0071709]; mitotic cytokinesis [GO:0000281]; plasma membrane organization [GO:0007009]; positive regulation of interleukin-2 secretion [GO:1900042]; positive regulation of protein localization to plasma membrane [GO:1903078]; protein targeting to plasma membrane [GO:0072661]; regulation of protein localization to plasma membrane [GO:1903076]; SMAD protein import into nucleus [GO:0007184]	PF00307;PF00435;
comp126028_c0_seq2	0.001748639	0.004429235	0.021765519	0.011007134	0.020003059	0.003933	0.011657608	0.012290362	0.017759207	1e-82	Q8NF91	Nesprin-1 (Enaptin) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1)	Homo sapiens (Human)	cytoskeletal anchoring at nuclear membrane [GO:0090286]; establishment of nucleus localization [GO:0040023]; Golgi organization [GO:0007030]; muscle cell differentiation [GO:0042692]; nuclear matrix anchoring at nuclear membrane [GO:0090292]; nucleus organization [GO:0006997]	PF00307;PF10541;PF00435;
comp126044_c1_seq1	0.000687346	0.022717204	0.000509183	0.000541287	0.000460884	2.1149e-05	0.001342361	0.000410683	0.008173074	5e-06	Q7SIG4	Diisopropyl-fluorophosphatase (DFPase) (EC 3.1.8.2)	Loligo vulgaris (Common European squid)		PF08450;
comp126044_c1_seq2	0.000687346	0.022717204	0.000509183	0.000541287	0.000460884	2.1149e-05	0.001342361	0.000410683	0.008173074	5e-82	Q5R837	Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	cellular calcium ion homeostasis [GO:0006874]; positive regulation of ATPase activity [GO:0032781]; regulation of calcium-mediated signaling [GO:0050848]	PF08450;
comp126080_c0_seq2	0.014144083	0.002024864	0.010864074	0.013191597	0.00937997	0.010284709	0.01021746	0.009725694	0.009058462	1e-69	O70566	Protein diaphanous homolog 2 (Diaphanous-related formin-2) (DRF2) (mDia3)	Mus musculus (Mouse)	actin filament polymerization [GO:0030041]; multicellular organism development [GO:0007275]; oogenesis [GO:0048477]	PF06345;PF06367;PF06371;PF02181;
comp126096_c0_seq1	0.001801824	0.006334207	0.01087842	0.014614246	0.010029721	0.010658192	0.016364705	0.014232812	0.002383977	1e-54	Q68EM7	Rho GTPase-activating protein 17 (Rho-type GTPase-activating protein 17) (RhoGAP interacting with CIP4 homologs protein 1) (RICH-1)	Homo sapiens (Human)	regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]	PF03114;PF00620;
comp126103_c0_seq1	0.002788845	0.010672563	0.013744763	0.004858509	0.006794628	0.00422747	0.008531148	0.008637545	0.009153473	7e-06	Q8SPH5	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]	PF02320;
comp126113_c2_seq1	0.001987306	0.000165631	0.003827985	0.001550141	0.001626032	0.002949331	8.121e-05	0.002716473	0.000108487	9e-08	Q62313	Trans-Golgi network integral membrane protein 1 (TGN38A)	Mus musculus (Mouse)	Golgi to endosome transport [GO:0006895]	
comp126124_c0_seq1	0.000310436	0.00155971993333333	0.00036809	0.000114977	0.000179035	0.000106841	0.00154803	8.355e-05	0.000232362	7e-86	P50904	Ras GTPase-activating protein 1 (GAP) (GTPase-activating protein) (RasGAP) (Ras p21 protein activator) (p120GAP)	Rattus norvegicus (Rat)	actin cytoskeleton organization [GO:0030036]; activation of GTPase activity [GO:0090630]; cell adhesion [GO:0007155]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; embryo development [GO:0009790]; male genitalia development [GO:0030539]; mitotic cytokinesis [GO:0000281]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of Ras protein signal transduction [GO:0046580]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of glucose import [GO:0046326]; positive regulation of GTPase activity [GO:0043547]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein phosphorylation [GO:0001934]; regulation of actin filament polymerization [GO:0030833]; response to drug [GO:0042493]; response to insulin [GO:0032868]; signal transduction [GO:0007165]; vasculogenesis [GO:0001570]	PF00168;PF00169;PF00616;PF00017;PF00018;
comp126124_c0_seq2	0.000310436	0.00155971993333333	0.00036809	0.000114977	0.000179035	0.000106841	0.00154803	8.355e-05	0.000232362	1e-85	P50904	Ras GTPase-activating protein 1 (GAP) (GTPase-activating protein) (RasGAP) (Ras p21 protein activator) (p120GAP)	Rattus norvegicus (Rat)	actin cytoskeleton organization [GO:0030036]; activation of GTPase activity [GO:0090630]; cell adhesion [GO:0007155]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; embryo development [GO:0009790]; male genitalia development [GO:0030539]; mitotic cytokinesis [GO:0000281]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of Ras protein signal transduction [GO:0046580]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of glucose import [GO:0046326]; positive regulation of GTPase activity [GO:0043547]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of protein phosphorylation [GO:0001934]; regulation of actin filament polymerization [GO:0030833]; response to drug [GO:0042493]; response to insulin [GO:0032868]; signal transduction [GO:0007165]; vasculogenesis [GO:0001570]	PF00168;PF00169;PF00616;PF00017;PF00018;
comp126129_c0_seq1	0.188871698	0.251363814	0.217181457	0.207180552	0.197400956	0.124087072	0.213122645	0.248529232	0.195967558	6e-50	Q4KLF8	Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC)	Rattus norvegicus (Rat)	actin filament network formation [GO:0051639]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; lamellipodium organization [GO:0097581]; maintenance of cell polarity [GO:0030011]; microtubule organizing center organization [GO:0031023]; orbitofrontal cortex development [GO:0021769]; smooth muscle cell migration [GO:0014909]	PF04699;
comp126137_c0_seq1	5.358263395	3.287520699	2.563990748	6.116605528	4.033621396	4.950524676	2.031006245	2.947560175	4.34180691	0	O96064	Paramyosin	Mytilus galloprovincialis (Mediterranean mussel)		PF01576;
comp126141_c1_seq1	0.001283087	0.002167741	0.003393466	0.000417106	0.00068872	0.00481864	0.003175589	0.002572015	4.8925e-05	2e-15	Q9H9H4	Vacuolar protein sorting-associated protein 37B (hVps37B) (ESCRT-I complex subunit VPS37B)	Homo sapiens (Human)	autophagy [GO:0006914]; endosomal transport [GO:0016197]; intracellular transport of virus [GO:0075733]; multivesicular body assembly [GO:0036258]; positive regulation of viral budding via host ESCRT complex [GO:1903774]; positive regulation of viral release from host cell [GO:1902188]; protein transport [GO:0015031]; viral budding via host ESCRT complex [GO:0039702]; viral life cycle [GO:0019058]	PF07200;
comp126146_c0_seq1	1.476614174	1.273277866	1.43135029	1.562449617	1.27017579	1.839208922	1.71790797	1.593017618	0.948623396	1e-20	P47967	Galectin-5 (Gal-5) (RL-18)	Rattus norvegicus (Rat)		PF00337;
comp126150_c0_seq1	0.000644423	0.003365607	0.003832556	0.000955879	0.001444658	0.000907958	0.000260649	0.002121104	0.00032154	2e-23	Q5ZMU6	Serine/threonine-protein phosphatase 4 regulatory subunit 2	Gallus gallus (Chicken)		PF09184;
comp126199_c0_seq1	0.13447862	0.118639769	0.203597596	0.152149058	0.108216199	0.167667641	0.129469751	0.141415719	0.083419777	7e-141	P61258	Proliferating cell nuclear antigen (PCNA)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	DNA replication [GO:0006260]; positive regulation of deoxyribonuclease activity [GO:0032077]; regulation of DNA replication [GO:0006275]; translesion synthesis [GO:0019985]	PF02747;PF00705;
comp126204_c0_seq1	0.001992153	2.8848e-05	0.001737027	0.001338278	0.001375785	0.000952421	0.002551975	0.001487538	0.00129998	5e-30	Q91ZU6	Dystonin (Bullous pemphigoid antigen 1) (BPA) (Dystonia musculorum protein) (Hemidesmosomal plaque protein) (Microtubule actin cross-linking factor 2)	Mus musculus (Mouse)	axonogenesis [GO:0007409]; cell adhesion [GO:0007155]; cell cycle arrest [GO:0007050]; intermediate filament cytoskeleton organization [GO:0045104]; intracellular transport [GO:0046907]; retrograde axonal transport [GO:0008090]	PF00307;PF13499;PF02187;PF00681;PF00435;
comp126204_c0_seq2	0.001992153	2.8848e-05	0.001737027	0.001338278	0.001375785	0.000952421	0.002551975	0.001487538	0.00129998	8e-07	Q9QWN8	Spectrin beta chain, non-erythrocytic 2 (Beta SpIII sigma 1) (Beta-III spectrin) (Glutamate transporter EAAT4-associated protein 41) (SPNB-3) (Spectrin-like protein GTRAP41)	Rattus norvegicus (Rat)	actin filament capping [GO:0051693]; cellular response to ethanol [GO:0071361]; regulation of calcium ion-dependent exocytosis [GO:0017158]; synaptic vesicle docking [GO:0016081]; synaptic vesicle exocytosis [GO:0016079]	PF00307;PF00435;
comp126240_c0_seq1	0.010621366	0.007219065	0.001885758	0.012885414	0.01185582	0.008967335	0.009365489	0.006323773	0.015526415	3e-47	Q9UBQ7	Glyoxylate reductase/hydroxypyruvate reductase (EC 1.1.1.79) (EC 1.1.1.81)	Homo sapiens (Human)	dicarboxylic acid metabolic process [GO:0043648]; excretion [GO:0007588]; glyoxylate metabolic process [GO:0046487]; metabolic process [GO:0008152]; oxidation-reduction process [GO:0055114]; protein oligomerization [GO:0051259]	PF00389;PF02826;
comp126254_c0_seq1	0.002311034	0.005037684	0.013467561	0.009787887	0.008767376	0.009678483	0.01323222	0.012608183	0.012352439	3e-66	Q9VZV5	Cysteine and histidine-rich protein 1 homolog	Drosophila melanogaster (Fruit fly)		
comp126254_c0_seq3	0.002311034	0.005037684	0.013467561	0.009787887	0.008767376	0.009678483	0.01323222	0.012608183	0.012352439	2e-132	Q2TAD9	Cysteine and histidine-rich protein 1-B	Xenopus laevis (African clawed frog)		
comp126257_c2_seq1	0.000199486	0.000191375	0.001710229	0.000707603	0	0.001460939	0.001864324	0.002421693	0.00048731	1e-119	Q6GNT7	Golgin subfamily A member 5 (Golgin-84)	Xenopus laevis (African clawed frog)	Golgi organization [GO:0007030]; Golgi vesicle transport [GO:0048193]	PF09787;
comp126265_c0_seq1	0.001945492	0.000961188	0.004795797	0.002824584	0.002606518	0.000658948	0.004758124	0.003499768	0.002323086	2e-82	O75431	Metaxin-2 (Mitochondrial outer membrane import complex protein 2)	Homo sapiens (Human)	mitochondrial transport [GO:0006839]; protein targeting to mitochondrion [GO:0006626]	PF17171;PF10568;
comp126275_c0_seq1	0.000184215	0.000242251	0.000259682	0.00035566	0.000137073	0.000203263	0.00018571	0.000144448	0.000220292	3e-23	Q9NW13	RNA-binding protein 28 (RNA-binding motif protein 28)	Homo sapiens (Human)	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	PF00076;
comp126284_c0_seq2	0.005914588	0.008823598	0.012268801	0.005939131	0.007879032	0.010101748	0.01141825	0.009014181	0.007601054	4e-105	Q6DGA6	Allantoicase (EC 3.5.3.4) (Allantoate amidinohydrolase)	Danio rerio (Zebrafish) (Brachydanio rerio)	allantoin catabolic process [GO:0000256]; purine nucleobase metabolic process [GO:0006144]	PF03561;
comp126310_c0_seq1	0.011140152	0.001122509	0.00959435	0.008953303	0.005458814	0.005284923	0.002952609	0.00231752	0.000962729	3e-12	Q6YHK3	CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)	Homo sapiens (Human)	hair follicle development [GO:0001942]; negative regulation of keratinocyte proliferation [GO:0010839]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of wound healing [GO:0061045]; osteoclast fusion [GO:0072675]; regulation of keratinocyte differentiation [GO:0045616]	PF00207;PF07678;PF01835;PF07703;PF07677;PF10569;
comp126359_c0_seq2	0.001442909	0.002118555	0.001091017	0.00139049	0.000121268	0.000232494	0.004866858	0.001130556	0.000509554	1e-167	Q9UKZ1	CCR4-NOT transcription complex subunit 11	Homo sapiens (Human)	cell proliferation [GO:0008283]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; gene silencing by RNA [GO:0031047]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; regulation of transcription, DNA-templated [GO:0006355]; regulation of translation [GO:0006417]; transcription, DNA-templated [GO:0006351]	PF10155;
comp126359_c0_seq3	0.001442909	0.002118555	0.001091017	0.00139049	0.000121268	0.000232494	0.004866858	0.001130556	0.000509554	6e-90	Q9UKZ1	CCR4-NOT transcription complex subunit 11	Homo sapiens (Human)	cell proliferation [GO:0008283]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; gene silencing by RNA [GO:0031047]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; regulation of transcription, DNA-templated [GO:0006355]; regulation of translation [GO:0006417]; transcription, DNA-templated [GO:0006351]	PF10155;
comp126375_c0_seq1	0.002887305	0.002308139	0.001868034	6.5136e-05	0.001653936	0.002964977	0.003937251	0.0041757	0.003789292	3e-73	Q96PF2	Testis-specific serine/threonine-protein kinase 2 (TSK-2) (TSK2) (TSSK-2) (Testis-specific kinase 2) (EC 2.7.11.1) (DiGeorge syndrome protein G) (DGS-G) (Serine/threonine-protein kinase 22B)	Homo sapiens (Human)	intracellular signal transduction [GO:0035556]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; spermatid development [GO:0007286]	PF00069;
comp126386_c1_seq1	0.0045803	0.020738084	0.02935214	0.007183266	0.006661814	0.003728947	0.014282979	0.017849531	0.009987334	2e-108	Q8BXN9	Transmembrane protein 87A	Mus musculus (Mouse)		PF06814;
comp126415_c0_seq1	0.102056604	0.023396249	0.089534968	0.080297143	0.087226336	0.097566218	0.069014482	0.085477742	0.079753811	5e-25	Q7TNV0	Protein DEK	Mus musculus (Mouse)	chromatin modification [GO:0016568]; regulation of double-strand break repair [GO:2000779]; regulation of double-strand break repair via nonhomologous end joining [GO:2001032]	PF08766;
comp126422_c0_seq1	0.007303862	0.004833142	0.008948457	0.008414204	0.011835861	0.004918259	0.011488394	0.013521023	0.009375674	2e-22	Q96LR7	Uncharacterized protein C2orf50	Homo sapiens (Human)		
comp126425_c1_seq1	0.030864978	0.006196469	0.019466151	0.021667309	0.052614665	0.011210287	0.042547023	0.042327871	0.028227123	4e-65	O19175	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1) (Fragment)	Sus scrofa (Pig)	cell division [GO:0051301]; intermediate filament cytoskeleton organization [GO:0045104]; mitotic nuclear division [GO:0007067]; peptidyl-serine phosphorylation [GO:0018105]; phagocytosis [GO:0006909]; protein phosphorylation [GO:0006468]; regulation of cell shape [GO:0008360]; Wnt signaling pathway [GO:0016055]	PF00069;
comp126425_c2_seq1	0.015529989	0.004491939	0.016473856	0.009063809	0.017019012	0.007146279	0.022716511	0.009320565	0.013378887	9e-104	Q8BK63	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	Mus musculus (Mouse)	cell division [GO:0051301]; cell morphogenesis [GO:0000902]; Golgi organization [GO:0007030]; intermediate filament cytoskeleton organization [GO:0045104]; mitotic nuclear division [GO:0007067]; peptidyl-serine phosphorylation [GO:0018105]; phagocytosis [GO:0006909]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein phosphorylation [GO:0006468]; regulation of cell shape [GO:0008360]; regulation of GTP binding [GO:1904424]; Wnt signaling pathway [GO:0016055]	PF00069;
comp126429_c0_seq1	0.000156096	0.009155938	0.002563705	0.003505842	0.004854468	0.00111568	0.001232683	0.003741779	0.002539659	2e-33	Q9BX51	Gamma-glutamyltransferase light chain 1 (Gamma-glutamyltransferase-like activity 4) (Gamma-glutamyltransferase-like protein 6)	Homo sapiens (Human)	glutathione metabolic process [GO:0006749]; leukotriene biosynthetic process [GO:0019370]	PF01019;
comp126429_c0_seq2	0.000156096	0.009155938	0.002563705	0.003505842	0.004854468	0.00111568	0.001232683	0.003741779	0.002539659	6e-63	P07314	Gamma-glutamyltranspeptidase 1 (GGT 1) (EC 2.3.2.2) (Gamma-glutamyltransferase 1) (Glutathione hydrolase 1) (EC 3.4.19.13) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Gamma-glutamyltranspeptidase 1 heavy chain; Gamma-glutamyltranspeptidase 1 light chain]	Rattus norvegicus (Rat)	aging [GO:0007568]; cellular response to oxidative stress [GO:0034599]; glutamate metabolic process [GO:0006536]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; peptide modification [GO:0031179]; response to estradiol [GO:0032355]; response to lipopolysaccharide [GO:0032496]; response to tumor necrosis factor [GO:0034612]; zymogen activation [GO:0031638]	PF01019;
comp126452_c0_seq1	0.04943605	0.015797642	0.042282783	0.040155316	0.038156652	0.039239365	0.019856857	0.035026097	0.037288739	7e-52	Q6P0D7	MAGUK p55 subfamily member 7 (Protein humpback)	Danio rerio (Zebrafish) (Brachydanio rerio)		PF00625;PF02828;PF00595;PF07653;
comp126452_c0_seq2	0.065259284	0.018497093	0.062460485	0.053793547	0.061846863	0.038729784	0.026779142	0.044936712	0.04662857	2e-80	Q8BVD5	MAGUK p55 subfamily member 7	Mus musculus (Mouse)	bicellular tight junction assembly [GO:0070830]; positive regulation of protein complex assembly [GO:0031334]; protein localization to adherens junction [GO:0071896]	PF00625;PF02828;PF00595;PF07653;
comp126452_c0_seq3	0.080814601	0.028103049	0.076095387	0.064355492	0.071201987	0.054983561	0.037498336	0.057173771	0.060965918	1e-150	Q9WV34	MAGUK p55 subfamily member 2 (Discs large homolog 2) (Protein MPP2)	Mus musculus (Mouse)		PF00625;PF02828;PF00595;PF07653;
comp126452_c0_seq4	0.033880733	0.006191686	0.028647881	0.029593371	0.028801528	0.022985588	0.009137663	0.022789038	0.022951391	4e-43	Q14168	MAGUK p55 subfamily member 2 (Discs large homolog 2) (Protein MPP2)	Homo sapiens (Human)	signal transduction [GO:0007165]	PF00625;PF02828;PF00595;PF07653;
comp126462_c0_seq2	0.103912379	0.034811885	0.078732784	0.104868449	0.054684695	0.079502132	0.057841528	0.071494873	0.063830251	1e-19	P26932	Calponin-1 (Calponin, smooth muscle)	Gallus gallus (Chicken)	actomyosin structure organization [GO:0031032]	PF00402;PF00307;
comp126462_c0_seq3	0.116061261	0.065369944	0.136321076	0.149530143	0.082764221	0.137512074	0.101211936	0.111785705	0.081333902	2e-14	P37801	Calponin homolog OV9M	Onchocerca volvulus		PF00402;
comp126480_c0_seq1	0.178339827	0.207911086	0.226422786	0.163787896	0.155609745	0.213464059	0.184222827	0.171571383	0.179477085	2e-102	Q13148	TAR DNA-binding protein 43 (TDP-43)	Homo sapiens (Human)	3'-UTR-mediated mRNA stabilization [GO:0070935]; mRNA processing [GO:0006397]; negative regulation by host of viral transcription [GO:0043922]; negative regulation of gene expression [GO:0010629]; negative regulation of protein phosphorylation [GO:0001933]; nuclear fragmentation involved in apoptotic nuclear change [GO:0030264]; nuclear inner membrane organization [GO:0071765]; positive regulation of insulin secretion [GO:0032024]; regulation of cell cycle [GO:0051726]; response to endoplasmic reticulum stress [GO:0034976]; RNA splicing [GO:0008380]; transcription from RNA polymerase II promoter [GO:0006366]	PF00076;
comp126487_c0_seq1	0.00038281	0.000596633	0.00159697365625	0.000353312	0.000315744	0.001954686	0.000262855	0.000186409	0.000682668	4e-12	B2AWV6	Probable Xaa-Pro aminopeptidase P (AMPP) (Aminopeptidase P) (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Prolidase)	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina)		PF01321;PF00557;PF16188;
comp126499_c0_seq1	0.009325408	0.003498112	0.015804193	0.008793066	0.003135036	0.00207577	0.012308569	0.009125249	0.003928748	1e-46	P54928	Inositol monophosphatase 3 (IMP 3) (IMPase 3) (LeIMP3) (EC 3.1.3.25) (Inositol-1(or 4)-monophosphatase 3)	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	inositol biosynthetic process [GO:0006021]; inositol phosphate dephosphorylation [GO:0046855]; phosphatidylinositol phosphorylation [GO:0046854]; signal transduction [GO:0007165]	PF00459;
comp126499_c0_seq2	0.018196938	0.013736199	0.006776768	0.013921538	0.009541042	0.002828374	0.005237702	0.006088766	0.003987117	6e-31	P20456	Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)	Bos taurus (Bovine)	inositol biosynthetic process [GO:0006021]; inositol metabolic process [GO:0006020]; inositol phosphate dephosphorylation [GO:0046855]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphorylation [GO:0046854]; signal transduction [GO:0007165]	PF00459;
comp126503_c0_seq1	0.474905858	0.977715918	1.210587187	0.586722681	0.453286112	1.138915843	1.093855015	0.92763445	0.237814016	1e-42	P24367	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	Gallus gallus (Chicken)	chaperone-mediated protein folding [GO:0061077]; protein peptidyl-prolyl isomerization [GO:0000413]	PF00160;
comp126523_c0_seq3	0.025609925	0.033092092	0.037906548	0.025573597	0.022742809	0.017437865	0.03005088	0.026885086	0.019861116	1e-60	Q29RM3	Receptor expression-enhancing protein 5	Bos taurus (Bovine)		PF03134;
comp126523_c0_seq4	0.025609925	0.033092092	0.037906548	0.025573597	0.022742809	0.017437865	0.03005088	0.026885086	0.019861116	2e-51	Q32LG5	Receptor expression-enhancing protein 6	Bos taurus (Bovine)	regulation of intracellular transport [GO:0032386]	PF03134;
comp126539_c0_seq1	0.000100312	0.000722005	0.000132742	0.00105646421212121	0.000138574	0.000114433	0.004648477	0.001707702	0.007166403	3e-135	Q9BH05	Threonine synthase-like 1 (TSH1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)		PF00291;PF01202;PF14821;
comp126545_c2_seq1	0.000650679	8.617e-06	0.00109284	0.000349407	0.001484863	0.00097845	0.000813502	0.001443842	0.000393998	4e-67	O88848	ADP-ribosylation factor-like protein 6	Mus musculus (Mouse)	brain development [GO:0007420]; cilium assembly [GO:0042384]; fat cell differentiation [GO:0045444]; intermembrane transport [GO:0046909]; protein ADP-ribosylation [GO:0006471]; protein localization to cilium [GO:0061512]; protein localization to nonmotile primary cilium [GO:0097499]; protein polymerization [GO:0051258]; protein targeting to membrane [GO:0006612]; Ras protein signal transduction [GO:0007265]; regulation of smoothened signaling pathway [GO:0008589]; retina layer formation [GO:0010842]; Wnt signaling pathway [GO:0016055]	PF00025;
comp126565_c0_seq1	0.019025131	0.012259539	0.027485445	0.009759344	0.005220069	0.028046142	0.016320222	0.023910075	0.028536729	9e-154	Q9V3D2	Oxygen-dependent coproporphyrinogen-III oxidase (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	Drosophila melanogaster (Fruit fly)	heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]	PF01218;
comp126573_c0_seq3	0.004687417	0.00180945	0.006068316	0.000719354	0.00130232	0.009867052	0.010985569	0.004459691	0.007777894	3e-30	Q9P2E3	NFX1-type zinc finger-containing protein 1	Homo sapiens (Human)		
comp126577_c0_seq1	0.023578822	0.033942729	0.052579813	0.006057527	0.061904456	0.022016362	0.067805023	0.0486036	0.011918784	1e-42	Q8C1B2	TCDD-inducible poly [ADP-ribose] polymerase (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 14) (ARTD14)	Mus musculus (Mouse)	androgen metabolic process [GO:0008209]; cellular response to organic cyclic compound [GO:0071407]; estrogen metabolic process [GO:0008210]; face morphogenesis [GO:0060325]; female gonad development [GO:0008585]; hemopoiesis [GO:0030097]; kidney development [GO:0001822]; multicellular organism metabolic process [GO:0044236]; negative regulation of gene expression [GO:0010629]; nitrogen compound metabolic process [GO:0006807]; palate development [GO:0060021]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of protein catabolic process [GO:0045732]; post-embryonic development [GO:0009791]; protein ADP-ribosylation [GO:0006471]; skeletal system morphogenesis [GO:0048705]; smooth muscle tissue development [GO:0048745]; vasculogenesis [GO:0001570]	PF00644;
comp126607_c0_seq1	0.001371453	0.004834119	0.004424153	0.001824029	0.002692201	0.002774237	0.006877465	0.007072012	0.004467238	8e-36	P24668	Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46)	Mus musculus (Mouse)	intracellular protein transport [GO:0006886]; secretion of lysosomal enzymes [GO:0033299]	PF02157;
comp126657_c0_seq1	0.008384289	0.009628727	0.010593191	0.006037365	0.00373592	0.001400274	0.006037172	0.011027838	0.006781175	5e-40	Q182S8	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	Peptoclostridium difficile (strain 630) (Clostridium difficile)		PF00625;
comp126657_c0_seq2	0.008384289	0.009628727	0.010593191	0.006037365	0.00373592	0.001400274	0.006037172	0.011027838	0.006781175	8e-77	Q64520	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	Mus musculus (Mouse)	purine nucleotide metabolic process [GO:0006163]	PF00625;
comp126665_c0_seq1	0.087832079	0.042559906	0.083268661	0.088531822	0.093806267	0.05117154	0.055286773	0.076049087	0.063976527	3e-62	A0FGR8	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)	Homo sapiens (Human)	endocytosis [GO:0006897]; lipid transport [GO:0006869]	PF00168;PF17047;
